,State,Population,ageh,Hurricane,age,Severe Storm(s),Year,Region
143,Kansas,2892821,64,0,62,52,2013,North Central
144,Kentucky,4400477,21,0,62,29,2013,South
145,Louisiana,4626402,59,1,33,0,2013,South
146,Maryland,5931129,49,0,51,0,2013,South
147,Massachusetts,6706786,9,0,64,10,2013,Northeast
148,Minnesota,5418521,72,0,43,0,2013,North Central
149,Missouri,6042711,80,0,48,119,2013,North Central
150,Nebraska,1868559,80,0,66,0,2013,North Central
151,New Hampshire,1322687,85,7,64,0,2013,Northeast
152,New Jersey,8899162,26,35,61,0,2013,Northeast
153,New Mexico,2085193,37,0,69,3,2013,West
154,North Carolina,9841590,46,5,53,13,2013,South
155,North Dakota,724019,13,0,33,13,2013,North Central
156,Ohio,11570022,24,0,76,72,2013,North Central
157,Oklahoma,3852415,56,0,61,0,2013,South
158,Pennsylvania,12781338,20,31,68,5,2013,Northeast
159,Rhode Island,1053033,25,0,18,5,2013,Northeast
160,South Carolina,4767894,58,26,24,0,2013,South
161,Tennessee,6494821,64,0,79,9,2013,South
162,Texas,26473525,27,64,86,0,2013,South
163,Vermont,627140,57,14,60,4,2013,Northeast
164,Virginia,8262692,75,12,56,0,2013,South
165,West Virginia,1853231,32,0,52,8,2013,South
166,Wisconsin,5742854,72,0,49,0,2013,North Central
167,California,38680810,43,0,46,0,2014,West
168,Colorado,5349648,34,0,23,0,2014,West
169,Connecticut,3591873,77,0,27,3,2014,Northeast
170,Delaware,934948,26,0,65,0,2014,South
171,Florida,19888741,82,0,26,2,2014,South
172,Georgia,10087231,70,7,34,1,2014,South
173,Iowa,3108030,39,0,46,0,2014,North Central
174,Kansas,2899360,52,0,0,2,2014,North Central
175,Kentucky,4413057,35,0,17,12,2014,South
176,Louisiana,4647880,50,11,46,0,2014,South
177,Maryland,5967295,36,0,48,0,2014,South
178,Michigan,9915767,52,0,50,0,2014,North Central
179,Minnesota,5453109,36,0,15,7,2014,North Central
180,Missouri,6060930,35,0,14,44,2014,North Central
181,Nebraska,1881145,44,0,46,0,2014,North Central
182,New Hampshire,1328743,85,0,40,0,2014,Northeast
183,New Jersey,8925001,34,0,19,17,2014,Northeast
184,New Mexico,2083024,86,0,50,12,2014,West
185,North Dakota,739904,80,0,49,0,2014,North Central
186,Ohio,11594408,65,0,74,37,2014,North Central
187,Oklahoma,3877499,80,0,71,0,2014,South
188,Oregon,3968371,16,0,56,2,2014,West
189,Pennsylvania,12790565,16,43,0,0,2014,Northeast
190,Rhode Island,1054480,20,5,18,0,2014,Northeast
191,South Carolina,4828430,82,0,61,20,2014,South
192,Tennessee,6544663,92,0,35,38,2014,South
193,Texas,26944751,16,0,51,0,2014,South
194,Utah,2941836,6,0,84,0,2014,West
195,Vermont,626984,47,0,19,0,2014,Northeast
196,Virginia,8317372,60,46,60,0,2014,South
197,Washington,7054196,83,0,67,7,2014,West
198,West Virginia,1848514,57,0,10,0,2014,South
199,Wisconsin,5758377,70,0,67,3,2014,North Central
200,Wyoming,583642,68,0,72,16,2014,West
201,Alaska,737709,93,0,6,0,2015,West
202,Arkansas,2977853,89,0,44,11,2015,South
203,California,38993940,73,0,16,0,2015,West
204,Connecticut,3584730,51,0,11,2,2015,Northeast
205,Delaware,944076,25,3,1,0,2015,South
206,Florida,20244914,47,0,20,32,2015,South
207,Georgia,10199398,40,0,19,6,2015,South
208,Hawaii,1425157,64,0,3,0,2015,West
209,Idaho,1652828,58,0,56,0,2015,West
210,Illinois,12839047,3,0,91,11,2015,North Central
211,Iowa,3121997,56,0,39,13,2015,North Central
212,Kansas,2906721,30,0,55,25,2015,North Central
213,Kentucky,4424611,24,0,27,0,2015,South
214,Maryland,5994983,55,0,62,0,2015,South
215,Massachusetts,6784240,71,9,54,0,2015,Northeast
216,Michigan,9917715,21,0,64,0,2015,North Central
217,Minnesota,5482435,42,0,54,19,2015,North Central
218,Mississippi,2989390,28,0,32,2,2015,South
219,New Mexico,2080328,67,0,41,0,2015,West
220,New York,19747183,28,0,53,5,2015,Northeast
221,North Carolina,10035186,39,28,56,0,2015,South
222,North Dakota,756835,59,0,17,0,2015,North Central
223,Oklahoma,3907414,61,0,39,36,2015,South
224,Pennsylvania,12791904,36,8,64,0,2015,Northeast
225,Rhode Island,1055607,86,6,16,0,2015,Northeast
226,South Carolina,4894834,45,0,36,27,2015,South
227,South Dakota,857919,63,0,21,15,2015,North Central
228,Texas,27429639,28,0,34,0,2015,South
229,Virginia,8367587,29,39,21,0,2015,South
230,Washington,7160290,56,0,25,0,2015,West
231,Wisconsin,5767891,46,0,19,0,2015,North Central
232,Alabama,4863300,39,0,40,3,2016,South
233,Alaska,741894,42,0,18,0,2016,West
234,California,39250017,11,0,31,15,2016,West
235,Colorado,5540545,41,0,37,0,2016,West
236,Florida,20612439,36,8,25,0,2016,South
237,Georgia,10310371,40,0,51,0,2016,South
238,Iowa,3134693,11,0,24,36,2016,North Central
239,Kentucky,4436974,32,0,46,0,2016,South
240,Louisiana,4681666,17,0,81,0,2016,South
241,Maryland,6016447,72,0,74,1,2016,South
242,Massachusetts,6811779,43,10,84,0,2016,Northeast
243,Minnesota,5519952,62,0,21,8,2016,North Central
244,Mississippi,2988726,50,0,14,7,2016,South
245,Montana,1042520,32,0,57,0,2016,West
246,Nebraska,1907116,53,0,6,40,2016,North Central
247,New Jersey,8944469,39,0,24,3,2016,Northeast
248,New Mexico,2081015,52,0,1,0,2016,West
249,New York,19745289,87,0,53,10,2016,Northeast
250,North Carolina,10146788,62,2,68,16,2016,South
251,North Dakota,757952,60,0,36,0,2016,North Central
252,Oklahoma,3923561,71,0,39,29,2016,South
253,Oregon,4093465,72,0,56,4,2016,West
254,Pennsylvania,12784227,17,0,84,0,2016,Northeast
255,South Carolina,4961119,67,25,17,0,2016,South
256,South Dakota,865454,50,0,50,30,2016,North Central
257,Tennessee,6651194,27,0,18,12,2016,South
258,Texas,27862596,65,0,32,9,2016,South
259,Utah,3051217,58,0,38,0,2016,West
260,Virginia,8411808,23,46,59,0,2016,South
261,Washington,7288000,78,0,52,6,2016,West
262,West Virginia,1831102,42,0,27,34,2016,South
